date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:00	244/244	------	200	untouched ('OK')	text/plain	etag:%2261d7fbdc-f4%22	https://www.betika.com/robots.txt		(from )
09:46:12	10869/10869	---M--	200	added ('OK')	text/html	etag:%2261d41903-2a75%22	https://www.betika.com/et/mobile/	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/index.html	(from )
09:46:12	747/747	---M--	200	added ('OK')	application/json	etag:%2261d41903-2eb%22	https://www.betika.com/et/mobile/manifest.json	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/manifest.json	(from https://www.betika.com/et/mobile/)
09:46:13	6300/6300	---M--	200	added ('OK')	image/png	etag:%2261d41903-2866%22	https://www.betika.com/et/mobile/images/android-icon-192x192.png	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/images/android-icon-192x192.png	(from https://www.betika.com/et/mobile/)
09:46:14	4926/4926	---M--	200	added ('OK')	image/png	etag:%2261d41903-1fb9%22	https://www.betika.com/et/mobile/images/apple-icon-152x152.png	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/images/apple-icon-152x152.png	(from https://www.betika.com/et/mobile/)
09:46:15	1086/1086	---M--	200	added ('OK')	image/x-icon	etag:%2261d41903-43e%22	https://www.betika.com/et/mobile/favicon.ico	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/favicon.ico	(from https://www.betika.com/et/mobile/)
09:46:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2009%20Jan%202022%2006:46:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	/storage/emulated/0/HTTrack/Websites/nah/www.googletagmanager.com/gtm.45445.delayed	(from https://www.betika.com/et/mobile/)
09:46:19	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2009%20Jan%202022%2006:46:18%20GMT	https://connect.facebook.net/en_US/fbevents.js	/storage/emulated/0/HTTrack/Websites/nah/connect.facebook.net/en_US/fbevents.js	(from https://www.betika.com/et/mobile/)
09:46:20	10869/10869	---M--	200	added ('OK')	text/html	etag:%2261d41903-2a75%22	https://www.betika.com/et/mobile/GET	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/GET.html	(from https://www.betika.com/et/mobile/)
09:46:21	14767/14767	---M--	200	added ('OK')	image/png	etag:%2261d41903-87b0%22	https://www.betika.com/et/mobile/images/logo-small.png	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/images/logo-small.png	(from https://www.betika.com/et/mobile/)
09:46:25	5089/5089	---M--	200	added ('OK')	application/javascript	etag:%2261d41903-13e1%22	https://www.betika.com/et/mobile/vendor.93ad4801c46a072aab56.js	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/vendor.93ad4801c46a072aab56.js	(from https://www.betika.com/et/mobile/)
09:46:27	463228/463228	---M--	200	added ('OK')	application/javascript	etag:%2261d41903-7117c%22	https://www.betika.com/et/mobile/app.93ad4801c46a072aab56.js	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/app.93ad4801c46a072aab56.js	(from https://www.betika.com/et/mobile/)
09:46:28	1351224/1351224	---M--	200	added ('OK')	application/javascript	etag:%2261d41903-14a016%22	https://www.betika.com/et/mobile/0.41fddac9f32002f2c64e.js	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/0.41fddac9f32002f2c64e.js	(from https://www.betika.com/et/mobile/)
09:46:29	379579/379579	---M--	200	added ('OK')	application/javascript	etag:%2261d41903-5cc25%22	https://www.betika.com/et/mobile/3.2d08ec9ca4527846472c.js	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/3.2d08ec9ca4527846472c.js	(from https://www.betika.com/et/mobile/)
09:46:31	21520/21520	---M--	200	added ('OK')	text/css	etag:%2261d41903-648b%22	https://www.betika.com/et/mobile/css/widgets.css	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/css/widgets.css	(from https://www.betika.com/et/mobile/)
09:46:33	12877/12877	---M--	200	added ('OK')	application/x-javascript	etag:%224641ab1c4c5fa72f95c714b0dc1c6826%22	https://storage.googleapis.com/betika-africa-cdn/eth-contacts-loader.js?v=1.0	/storage/emulated/0/HTTrack/Websites/nah/storage.googleapis.com/betika-africa-cdn/eth-contacts-loaderc619.js	(from https://www.betika.com/et/mobile/)
09:46:34	10869/10869	---M--	200	added ('OK')	text/html	etag:%2261d41903-2a75%22	https://www.betika.com/et/mobile/c	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/c.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:46:34	10869/10869	---M--	200	added ('OK')	text/html	etag:%2261d41903-2a75%22	https://www.betika.com/et/mobile/b	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:46:35	10869/10869	---M--	200	added ('OK')	text/html	etag:%2261d41903-2a75%22	https://www.betika.com/et/mobile/POST	/storage/emulated/0/HTTrack/Websites/nah/www.betika.com/et/mobile/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
